IP,Puerto,Protocolo,Servicio,Version_Completa,CVE,CVSS_Score,Criticidad
192.168.56.101,21,tcp,ftp,vsftpd 2.3.4,Ninguno,0.0,INFO
192.168.56.101,22,tcp,ssh,OpenSSH 4.7p1 Debian 8ubuntu1,Ninguno,0.0,INFO
192.168.56.101,23,tcp,telnet,Linux telnetd,CVE-2000-1195,7.5,ALTO
192.168.56.101,23,tcp,telnet,Linux telnetd,CVE-2020-8797,6.7,MEDIO
192.168.56.101,23,tcp,telnet,Linux telnetd,CVE-2021-27171,9.8,CRÍTICO
192.168.56.101,23,tcp,telnet,Linux telnetd,CVE-2022-39028,7.5,ALTO
192.168.56.101,25,tcp,smtp,Postfix smtpd,CVE-2004-0925,5.0,MEDIO
192.168.56.101,25,tcp,smtp,Postfix smtpd,CVE-2005-0337,7.5,ALTO
192.168.56.101,25,tcp,smtp,Postfix smtpd,CVE-2023-51764,5.3,MEDIO
192.168.56.101,25,tcp,smtp,Postfix smtpd,CVE-2024-27305,5.3,MEDIO
192.168.56.101,53,tcp,domain,ISC BIND 9.4.2,Ninguno,0.0,INFO
192.168.56.101,80,tcp,http,Apache httpd 2.2.8,Ninguno,0.0,INFO
192.168.56.101,111,tcp,rpcbind,2,CVE-2003-1070,5.0,MEDIO
192.168.56.101,139,tcp,netbios-ssn,Samba smbd 3.X - 4.X,Ninguno,0.0,INFO
192.168.56.101,445,tcp,netbios-ssn,Samba smbd 3.0.20-Debian,Ninguno,0.0,INFO
192.168.56.101,512,tcp,exec,netkit-rsh rexecd,Ninguno,0.0,INFO
192.168.56.101,513,tcp,login,desconocido,Ninguno,0.0,INFO
192.168.56.101,514,tcp,shell,Netkit rshd,Ninguno,0.0,INFO
192.168.56.101,1099,tcp,java-rmi,GNU Classpath grmiregistry,Ninguno,0.0,INFO
192.168.56.101,1524,tcp,bindshell,Metasploitable root shell,Ninguno,0.0,INFO
192.168.56.101,2049,tcp,nfs,2-4,Ninguno,0.0,INFO
192.168.56.101,2121,tcp,ftp,ProFTPD 1.3.1,CVE-2008-4242,6.8,MEDIO
192.168.56.101,3306,tcp,mysql,MySQL 5.0.51a-3ubuntu5,Ninguno,0.0,INFO
192.168.56.101,3632,tcp,distccd,distccd v1,Ninguno,0.0,INFO
192.168.56.101,5432,tcp,postgresql,PostgreSQL DB 8.3.0 - 8.3.7,Ninguno,0.0,INFO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2001-1422,7.5,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2002-0971,4.6,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2002-0994,7.5,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2002-1336,7.5,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2002-2088,10.0,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2002-1511,5.0,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2006-1652,9.0,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2006-4309,10.0,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2007-0756,7.8,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2007-0998,4.3,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2007-2526,9.3,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2007-3536,7.6,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2008-0610,9.3,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2008-3493,5.0,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2008-3617,5.0,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2008-5001,9.3,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2008-5660,6.8,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2008-2382,5.0,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2008-5714,7.8,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2008-4539,7.2,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2008-4770,10.0,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2009-0388,10.0,CRÍTICO
