IP,Puerto,Protocolo,Servicio,Version_Completa
192.168.56.101,21,tcp,ftp,vsftpd 2.3.4
192.168.56.101,22,tcp,ssh,OpenSSH 4.7p1 Debian 8ubuntu1
192.168.56.101,23,tcp,telnet,Linux telnetd
192.168.56.101,25,tcp,smtp,Postfix smtpd
192.168.56.101,53,tcp,domain,ISC BIND 9.4.2
192.168.56.101,80,tcp,http,Apache httpd 2.2.8
192.168.56.101,111,tcp,rpcbind,2
192.168.56.101,139,tcp,netbios-ssn,Samba smbd 3.X - 4.X
192.168.56.101,445,tcp,netbios-ssn,Samba smbd 3.0.20-Debian
192.168.56.101,512,tcp,exec,netkit-rsh rexecd
192.168.56.101,513,tcp,login,desconocido
192.168.56.101,514,tcp,shell,Netkit rshd
192.168.56.101,1099,tcp,java-rmi,GNU Classpath grmiregistry
192.168.56.101,1524,tcp,bindshell,Metasploitable root shell
192.168.56.101,2049,tcp,nfs,2-4
192.168.56.101,2121,tcp,ftp,ProFTPD 1.3.1
192.168.56.101,3306,tcp,mysql,MySQL 5.0.51a-3ubuntu5
192.168.56.101,3632,tcp,distccd,distccd v1
192.168.56.101,5432,tcp,postgresql,PostgreSQL DB 8.3.0 - 8.3.7
192.168.56.101,5900,tcp,vnc,VNC
192.168.56.101,6000,tcp,X11,desconocido
192.168.56.101,6667,tcp,irc,UnrealIRCd
192.168.56.101,6697,tcp,irc,UnrealIRCd
192.168.56.101,8009,tcp,ajp13,Apache Jserv
192.168.56.101,8180,tcp,http,Apache Tomcat/Coyote JSP engine 1.1
192.168.56.101,8787,tcp,drb,Ruby DRb RMI
192.168.56.101,37619,tcp,nlockmgr,1-4
192.168.56.101,41181,tcp,java-rmi,GNU Classpath grmiregistry
192.168.56.101,43249,tcp,mountd,1-3
192.168.56.101,60683,tcp,status,1
192.168.56.102,22,tcp,ssh,OpenSSH 5.3p1 Debian 3ubuntu4
192.168.56.102,80,tcp,http,Apache httpd 2.2.14
192.168.56.102,139,tcp,netbios-ssn,Samba smbd 3.X - 4.X
192.168.56.102,143,tcp,imap,Courier Imapd
192.168.56.102,443,tcp,http,Apache httpd 2.2.14
192.168.56.102,445,tcp,netbios-ssn,Samba smbd 3.X - 4.X
192.168.56.102,5001,tcp,java-object,Java Object Serialization
192.168.56.102,8080,tcp,http,Apache Tomcat/Coyote JSP engine 1.1
192.168.56.102,8081,tcp,http,Jetty 6.1.25
192.168.56.103,21,tcp,ftp,ProFTPD 1.3.3c
192.168.56.103,22,tcp,ssh,OpenSSH 7.2p2 Ubuntu 4ubuntu2.2
192.168.56.103,80,tcp,http,Apache httpd 2.4.18
192.168.56.104,135,tcp,msrpc,Microsoft Windows RPC
192.168.56.104,139,tcp,netbios-ssn,Microsoft Windows netbios-ssn
192.168.56.104,445,tcp,microsoft-ds,Windows 7 Starter 7601 Service Pack 1 microsoft-ds
192.168.56.104,49152,tcp,msrpc,Microsoft Windows RPC
192.168.56.104,49153,tcp,msrpc,Microsoft Windows RPC
192.168.56.104,49154,tcp,msrpc,Microsoft Windows RPC
192.168.56.104,49155,tcp,msrpc,Microsoft Windows RPC
192.168.56.104,49156,tcp,msrpc,Microsoft Windows RPC
192.168.56.104,49157,tcp,msrpc,Microsoft Windows RPC
192.168.56.106,135,tcp,msrpc,Microsoft Windows RPC
192.168.56.106,139,tcp,netbios-ssn,Microsoft Windows netbios-ssn
192.168.56.106,445,tcp,microsoft-ds,Windows 8 Pro 9200 microsoft-ds
192.168.56.106,49152,tcp,msrpc,Microsoft Windows RPC
192.168.56.106,49153,tcp,msrpc,Microsoft Windows RPC
192.168.56.106,49154,tcp,msrpc,Microsoft Windows RPC
192.168.56.106,49155,tcp,msrpc,Microsoft Windows RPC
192.168.56.106,49156,tcp,msrpc,Microsoft Windows RPC
192.168.56.106,49157,tcp,msrpc,Microsoft Windows RPC
